C_HLEVEL	C_FULLNAME	C_NAME	C_SYNONYM_CD	C_VISUALATTRIBUTES	C_TOTALNUM	C_BASECODE	C_METADATAXML	C_FACTTABLECOLUMN	C_TABLENAME	C_COLUMNNAME	C_COLUMNDATATYPE	C_OPERATOR	C_DIMCODE	C_COMMENT	C_TOOLTIP	UPDATE_DATE	DOWNLOAD_DATE	IMPORT_DATE	SOURCESYSTEM_CD	VALUETYPE_CD
5	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\21	21	N	LA 	null	birn:mmse21	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\21	null	oasis \ Clinical Measures \ MMSE score \ Mild Alzheimer's disease \ 21	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
4	\BIRN\oasis\Demographics\Education\College grad.	College grad.	N	LA 	null	birn:edu4	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Demographics\Education\College grad.	null	oasis \ Demographics \ Education \ College grad.	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\27	27	N	LA 	null	birn:mmse27	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\27	null	oasis \ Clinical Measures \ MMSE score \ No Alzheimer's disease \ 27	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\28	28	N	LA 	null	birn:mmse28	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\28	null	oasis \ Clinical Measures \ MMSE score \ No Alzheimer's disease \ 28	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\29	29	N	LA 	null	birn:mmse29	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\29	null	oasis \ Clinical Measures \ MMSE score \ No Alzheimer's disease \ 29	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
5	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\30	30	N	LA 	null	birn:mmse30	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\30	null	oasis \ Clinical Measures \ MMSE score \ No Alzheimer's disease \ 30	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
3	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)	Clinical Dementia Rating (CDR)	N	FA 	null	null	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)	null	oasis \ Clinical Measures \ Clinical Dementia Rating (CDR)	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
4	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\nondemented	nondemented	N	LA 	null	birn:cdr0	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\nondemented	null	oasis \ Clinical Measures \ MMSE score \ nondemented	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
4	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\very mild dementia	very mild dementia	N	LA 	null	birn:cdr05	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\very mild dementia	null	oasis \ Clinical Measures \ Clinical Dementia Rating (CDR) \ very mild dementia	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
4	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\mild dementia	mild dementia	N	LA 	null	birn:cdr1	null	concept_cd	concept_dimension	concept_path	T	LIKE	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\mild dementia	null	oasis \ Clinical Measures \ Clinical Dementia Rating (CDR) \ mild dementia	Oct 10, 2007	Oct 10, 2007	Oct 10, 2007	OASIS	null
